epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,550.962,0.25218,0.26267,0.7879,0.98522,0.98831,0.99303,0.95681,0.29724,0.22055,0.77664,0.00032298,0.00032298,0.00032298
129,555.748,0.25811,0.26755,0.79554,0.98491,0.99101,0.99293,0.95412,0.29404,0.21461,0.77574,0.000321146,0.000321146,0.000321146
130,560.506,0.25211,0.26987,0.78925,0.98487,0.99226,0.99306,0.95421,0.30851,0.21864,0.77689,0.000319311,0.000319311,0.000319311
131,564.359,0.2537,0.27559,0.79254,0.98393,0.9904,0.99287,0.95147,0.31694,0.22191,0.77756,0.000317476,0.000317476,0.000317476
132,568.639,0.25142,0.26372,0.78795,0.98067,0.99065,0.99143,0.95622,0.31017,0.22296,0.77661,0.000315641,0.000315641,0.000315641
133,573.523,0.24541,0.26495,0.79009,0.98026,0.98991,0.99133,0.95681,0.30134,0.21806,0.77584,0.000313806,0.000313806,0.000313806
134,577.806,0.23979,0.25423,0.79287,0.98201,0.98934,0.99158,0.95491,0.30384,0.22317,0.77608,0.000311972,0.000311972,0.000311972
135,582.406,0.2486,0.25212,0.78652,0.98066,0.99172,0.99149,0.94694,0.32153,0.23315,0.77855,0.000310137,0.000310137,0.000310137
136,587.664,0.23303,0.24938,0.78713,0.98384,0.98806,0.99071,0.95078,0.30158,0.22509,0.77542,0.000308302,0.000308302,0.000308302
137,592.764,0.23684,0.2562,0.78777,0.9832,0.9874,0.9906,0.95332,0.29754,0.22329,0.77507,0.000306467,0.000306467,0.000306467
138,597.154,0.24046,0.25851,0.78653,0.98184,0.98811,0.99073,0.95055,0.30063,0.22423,0.7758,0.000304632,0.000304632,0.000304632
139,601.188,0.23761,0.2603,0.78677,0.98139,0.99005,0.99056,0.94974,0.30297,0.22388,0.77661,0.000302798,0.000302798,0.000302798
140,605.787,0.24467,0.26472,0.78852,0.98404,0.98997,0.99016,0.94743,0.31001,0.21885,0.77831,0.000300963,0.000300963,0.000300963
141,610.543,0.23715,0.25152,0.79415,0.98317,0.99185,0.99002,0.95089,0.30654,0.22026,0.77757,0.000299128,0.000299128,0.000299128
142,615.684,0.25276,0.26149,0.79074,0.9831,0.99389,0.99057,0.95023,0.31009,0.21889,0.77761,0.000297293,0.000297293,0.000297293
143,621.075,0.24154,0.24748,0.78715,0.9854,0.99369,0.99092,0.9498,0.3067,0.21764,0.77693,0.000295458,0.000295458,0.000295458
144,625.905,0.23972,0.26147,0.78877,0.98512,0.9942,0.99049,0.95258,0.30438,0.2154,0.77716,0.000293624,0.000293624,0.000293624
145,631.047,0.23928,0.25203,0.78259,0.98376,0.99424,0.99036,0.94965,0.30324,0.21857,0.77721,0.000291789,0.000291789,0.000291789
146,635.9,0.23606,0.25099,0.79084,0.98122,0.99184,0.99028,0.95052,0.30842,0.22302,0.7778,0.000289954,0.000289954,0.000289954
147,640.742,0.23668,0.25533,0.79302,0.98045,0.98701,0.99011,0.9498,0.31779,0.22833,0.77914,0.000288119,0.000288119,0.000288119
148,646.098,0.22062,0.23628,0.78624,0.97737,0.9893,0.9881,0.95084,0.30482,0.23438,0.77691,0.000286284,0.000286284,0.000286284
149,651.173,0.2407,0.25256,0.78805,0.97761,0.98625,0.98745,0.94867,0.30166,0.233,0.77653,0.00028445,0.00028445,0.00028445
150,656.278,0.22563,0.23917,0.78149,0.97839,0.98665,0.98716,0.94421,0.3001,0.23154,0.77608,0.000282615,0.000282615,0.000282615
151,660.079,0.22853,0.24556,0.78433,0.97872,0.99121,0.98787,0.94659,0.30594,0.22774,0.7766,0.00028078,0.00028078,0.00028078
152,663.818,0.2238,0.25224,0.78818,0.97747,0.9898,0.99089,0.95218,0.30682,0.22359,0.77707,0.000278945,0.000278945,0.000278945
153,667.305,0.21919,0.25192,0.78515,0.97787,0.98838,0.99105,0.94862,0.30637,0.22113,0.77838,0.00027711,0.00027711,0.00027711
154,670.783,0.22413,0.24362,0.78563,0.97709,0.98947,0.99126,0.95146,0.29791,0.21912,0.77731,0.000275276,0.000275276,0.000275276
155,674.305,0.22031,0.24136,0.78662,0.97528,0.99068,0.99117,0.95136,0.30586,0.22108,0.77754,0.000273441,0.000273441,0.000273441
156,678.461,0.22682,0.23786,0.78516,0.9785,0.98541,0.98766,0.94931,0.30323,0.21857,0.7769,0.000271606,0.000271606,0.000271606
157,681.787,0.21824,0.2236,0.78018,0.98293,0.98586,0.98735,0.94856,0.3003,0.21883,0.77642,0.000269771,0.000269771,0.000269771
158,685.542,0.22378,0.23166,0.78646,0.98412,0.9844,0.98743,0.94059,0.31697,0.22343,0.779,0.000267936,0.000267936,0.000267936
159,688.881,0.2237,0.2382,0.79044,0.98472,0.98364,0.98985,0.95101,0.30251,0.21917,0.7767,0.000266102,0.000266102,0.000266102
160,692.612,0.22027,0.2422,0.78964,0.9829,0.98365,0.99008,0.95067,0.30729,0.21936,0.77762,0.000264267,0.000264267,0.000264267
